YYMMDD;TIME;LOCATION;DEPTH;MAG;EVALMODE;Latitude;Longitude
20050709;17013749;Lageland;30;11;manual;53,238;6,685
20050717;18070783;Garrelsweer;30;18;manual;53,319;6,747
20050725;3215898;Scharmer;30;8;manual;53,212;6,712
20050805;19230202;Sappemeer;30;22;manual;53,17;6,81
20050910;2051167;Garrelsweer;30;12;manual;53,316;6,772
20051005;9160295;Westerwijtwerd;30;17;manual;53,331;6,642
20051012;16064253;Smilde;30;25;manual;52,963;6,45
20051023;17033808;Middelstum;30;19;manual;53,366;6,675
20051111;17022954;Harkstede;30;14;manual;53,224;6,697
20060102;12004567;Lageland;30;11;manual;53,236;6,695
20060110;23410614;Eleveld;30;26;manual;52,956;6,572
20060114;22295476;Sappemeer;30;3;manual;53,177;6,767
20060118;8124665;Ten Post;30;15;manual;53,29;6,765
20060118;22081579;Overschild;30;16;manual;53,274;6,773
20060120;20225010;Loppersum;30;13;manual;53,336;6,74
20060123;11173996;Lageland;30;19;manual;53,237;6,697
20060128;3004203;Godlinze;30;11;manual;53,38;6,818
20060129;18265314;Eleveld;30;11;manual;52,952;6,58
20060211;20013592;Hellum;30;13;manual;53,256;6,847
20060212;14363863;Garrelsweer;30;15;manual;53,297;6,795
20060224;4503003;Wirdum;30;13;manual;53,312;6,788
20060304;4323396;Hoogezand;30;18;manual;53,144;6,742
20060321;14503370;Garrelsweer;30;24;manual;53,302;6,755
20060323;3122391;Overschild;30;22;manual;53,283;6,778
20060325;13543814;Roswinkel;20;21;manual;52,834;7,45
20060325;13555117;Roswinkel;20;17;manual;52,834;7,43
20060405;1410976;Delfzijl;30;14;manual;53,344;6,89
20060412;5202914;Steendam;30;12;manual;53,27;6,837
20060413;7385189;Garmerwolde;30;15;manual;53,24;6,647
20060416;13515250;Wirdum;30;19;manual;53,31;6,783
20060416;18445442;Garrelsweer;30;11;manual;53,313;6,77
20060419;17391534;Westeremden;30;16;manual;53,336;6,685
20060422;3415426;Loppersum;30;15;manual;53,325;6,752
20060422;17031341;Rottum;30;4;manual;53,382;6,598
20060423;1181828;Delfzijl;30;9;manual;53,338;6,883
20060423;15020776;Warffum;30;11;manual;53,389;6,537
20060502;16520131;Wirdum;30;10;manual;53,314;6,797
20060503;19163731;Ten Post;30;12;manual;53,29;6,767
20060507;16113206;Westeremden;30;14;manual;53,345;6,717
20060522;20234085;Lageland;30;9;manual;53,241;6,698
20060606;3173401;Schildwolde;30;14;manual;53,238;6,81
20060608;23310638;Lageland;30;8;manual;53,24;6,69
20060616;21064676;Ten Post;30;16;manual;53,292;6,77
20060617;2430864;Garrelsweer;30;12;manual;53,297;6,768
20060617;13162158;Appingedam;30;14;manual;53,33;6,852
20060623;22354314;Garrelsweer;30;17;manual;53,317;6,763
20060624;16421950;Oosterwijtwerd;30;12;manual;53,341;6,823
20060712;135633;Godlinze;30;9;manual;53,369;6,813
20060712;22562384;Appingedam;30;13;manual;53,309;6,868
20060716;8103915;Appingedam;30;15;manual;53,303;6,867
20060808;5040005;Westeremden;30;35;manual;53,35;6,697
20060808;9492338;Westeremden;30;25;manual;53,349;6,707
20060811;6212303;Harkstede;30;11;manual;53,219;6,672
20060826;22411856;Westeremden;30;23;manual;53,343;6,712
20060906;1373217;Eelderwolde;30;18;manual;53,189;6,522
20060927;23304428;Eppenhuizen;30;16;manual;53,367;6,687
20061006;102898;Garrelsweer;30;16;manual;53,302;6,79
20061015;20180095;Emmen;30;16;manual;52,767;6,885
20061023;13380584;Garsthuizen;30;23;manual;53,372;6,738
20061025;9454193;Delfzijl;30;14;manual;53,325;6,923
20061026;2574724;Laar (Duitsland);30;8;manual;52,642;6,803
20061026;13593783;Oldenzijl;30;14;manual;53,394;6,705
20061104;21044848;Ekehaar;30;13;manual;52,934;6,578
